,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
172,DELL,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,45901
173,ASUS,Windows,Others,16,Intel,Others,1,15.6,SSD,512,79990
174,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,SSD,512,56990
175,DELL,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,256,34990
176,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
177,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
178,DELL,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,43581
179,Lenovo,Windows,DDR4,16,AMD,AMD,2,14.0,SSD,512,74991
180,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
181,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
182,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,37491
183,Infinix,Windows,Others,4,Intel,Intel,1,14.0,SSD,128,20991
184,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,109991
185,ASUS,Windows,Others,16,Intel,Others,1,15.6,SSD,512,71991
186,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
187,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
188,Infinix,Windows,Others,8,Intel,Others,1,14.0,SSD,512,32990
189,MSI,Windows,DDR4,8,AMD,AMD,1,14.0,SSD,512,43990
190,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,73490
191,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,194991
192,acer,Windows,DDR4,8,AMD,AMD,1,14.0,SSD,256,25990
193,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,SSD,1024,122991
194,acer,Windows,DDR4,16,Intel,Others,1,15.6,SSD,512,68991
195,acer,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,59991
196,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
197,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
198,acer,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,39991
199,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,37991
200,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
201,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
202,Lenovo,Windows,DDR4,4,Intel,Others,1,14.0,SSD,256,25950
203,Others,Windows,Others,16,Intel,Others,1,14.0,SSD,512,65000
204,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,60990
205,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,36990
206,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
207,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
208,Others,Windows,Others,8,Intel,Others,1,15.6,SSD,256,59991
209,APPLE,Mac,Others,16,Others,Others,1,15.6,SSD,512,222991
210,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
211,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
212,DELL,Windows,DDR5,16,Intel,Others,1,15.6,SSD,1024,235283
213,DELL,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,38990
214,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,67990
215,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,79990
216,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
217,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
218,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,67990
219,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,79990
220,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
221,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
222,ASUS,Windows,Others,16,Intel,Others,1,15.6,SSD,512,89991
223,ASUS,Windows,DDR5,32,Intel,Others,1,15.6,SSD,1024,241991
224,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,SSD,512,43491
225,Others,Windows,DDR4,8,Intel,Others,1,14.0,SSD,256,46991
226,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
227,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
228,Others,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,40991
229,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,94990
230,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
231,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
232,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,1024,114990
233,APPLE,Mac,Others,8,Others,Others,1,15.6,SSD,256,121990
234,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,37991
235,ASUS,Windows,DDR4,8,Intel,Intel,1,15.6,SSD,256,27991
236,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,194991
237,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,44991
238,DELL,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,40191
239,Lenovo,Windows,DDR4,8,AMD,Others,1,15.6,SSD,512,34990
240,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
241,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
242,ASUS,Windows,Others,16,Intel,Others,1,14.0,SSD,1024,94990
