,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
176,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
177,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
178,DELL,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.682377
179,Lenovo,Windows,DDR4,16,AMD,AMD,2,14.0,SSD,512,11.225123
180,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
181,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
182,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.531857
183,Infinix,Windows,Others,4,Intel,Intel,1,14.0,SSD,128,9.951849
184,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,11.608154
185,ASUS,Windows,Others,16,Intel,Others,1,15.6,SSD,512,11.184297
186,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
187,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
188,Infinix,Windows,Others,8,Intel,Others,1,14.0,SSD,512,10.40399
189,MSI,Windows,DDR4,8,AMD,AMD,1,14.0,SSD,512,10.69174
190,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.204918
191,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.180709
192,acer,Windows,DDR4,8,AMD,AMD,1,14.0,SSD,256,10.165505
193,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,SSD,1024,11.719867
194,acer,Windows,DDR4,16,Intel,Others,1,15.6,SSD,512,11.141731
195,acer,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,11.00195
196,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
197,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
198,acer,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.59641
199,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.545105
200,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
201,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
202,Lenovo,Windows,DDR4,4,Intel,Others,1,14.0,SSD,256,10.163965
203,Others,Windows,Others,16,Intel,Others,1,14.0,SSD,512,11.082143
204,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.018481
205,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.51843
206,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
207,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
208,Others,Windows,Others,8,Intel,Others,1,15.6,SSD,256,11.00195
209,APPLE,Mac,Others,16,Others,Others,1,15.6,SSD,512,12.314887
210,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
211,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
212,DELL,Windows,DDR5,16,Intel,Others,1,15.6,SSD,1024,12.368548
213,DELL,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.571086
214,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.1271305
215,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,11.289669
216,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
217,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
218,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.1271305
219,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,11.289669
220,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
221,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
222,ASUS,Windows,Others,16,Intel,Others,1,15.6,SSD,512,11.407465
223,ASUS,Windows,DDR5,32,Intel,Others,1,15.6,SSD,1024,12.396656
224,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,SSD,512,10.680309
225,Others,Windows,DDR4,8,Intel,Others,1,14.0,SSD,256,10.757711
226,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
227,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
228,Others,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.621108
229,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,11.461537
230,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
231,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
232,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,1024,11.652609
233,APPLE,Mac,Others,8,Others,Others,1,15.6,SSD,256,11.711702
234,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.545105
235,ASUS,Windows,DDR4,8,Intel,Intel,1,15.6,SSD,256,10.239638
236,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.180709
237,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.714218
238,DELL,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.601398
239,Lenovo,Windows,DDR4,8,AMD,Others,1,15.6,SSD,512,10.462846
240,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
241,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
242,ASUS,Windows,Others,16,Intel,Others,1,14.0,SSD,1024,11.461537
243,Lenovo,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,11.156122
244,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,11.00195
245,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,SSD,512,11.112313
246,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
247,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
248,ASUS,Windows,Others,16,Intel,Others,1,15.6,SSD,512,11.56163
249,DELL,Windows,DDR4,8,Intel,Others,1,14.0,SSD,256,10.913287
250,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
251,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
252,Lenovo,Windows,DDR4,16,AMD,Others,2,15.6,SSD,1024,11.82767
253,DELL,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.782803
254,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,SSD,512,11.225123
255,acer,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,11.018481
256,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
257,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
258,HP,Windows,DDR4,8,AMD,AMD,1,14.0,SSD,512,10.819598
259,DELL,Windows,DDR4,8,Intel,NVIDIA,1,15.6,SSD,512,11.1271305
260,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.180709
261,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.714218
262,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.968216
263,Infinix,Windows,Others,8,Intel,Others,1,14.0,SSD,256,10.308653
264,ASUS,Windows,Others,16,AMD,Others,1,15.6,SSD,1024,11.652609
265,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.433851
266,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
